employee_id,name,phone,age,Result
654654,Michael,509744141,26,
84634679,Josh,52402365,30,
21,Mark,852,35,
22,John,964,45,
28635423,Yael,507436460,49,
20123452,John,654654654,45,
219102514,Shir,505300279,22,
318722899,Amit,508497097,26,
9546,Michal,2655632,55,
324988864,Tal,509762107,18,
35421,Gal,95468764,45,85.0
98657,Yamim,524646,22,80.0
239918,Yam,5412,22,93.0
239918,Yam,5412,22,99.0
21654,Shai,852,35,65.0
24562,Gai,964,45,77.0
987654,Kai,5236412,56,
6666666,Agam,89761111,23,
65454,Chai,8555452,35,95.0
318722899,Amit,508497097,21,100.0
