User Name,Display Name,Job Title
chris@contoso.com,Chris Green,IT Manager
ben@contoso.com,Ben Andrews,IT Manager
david@contoso.com,David Longmuir,IT Manager
cynthia@contoso.com,Cynthia Carey,IT Manager
melissa@contoso.com,Melissa MacBeth,IT Manager
shawanda@contoso.com,Shawanda Walker,CEO
george@contoso.com,George Hurden,CEO's Secretary
amilia@contoso.com,Amilia Thomas,QA Manager
benjamin@contoso.com,Benjamin Nerd,QA's Secretary
nina@contoso.com,Nina Golono,QA
bella@contoso.com,Bella Shift,QA
jeff@contoso.com,Jeff Title,QA
tom@contoso.com,Tom Fork,Graphic Designer
tiffany@contoso.com,Tiffany Keller,Graphic Designer
lee@contoso.com,Lee Nim-as,GUI Developer
sofi@contoso.com,Sofi Stam,GUI Developer
elit@contoso.il,Elit Barosh,Branch Manager
maor@contoso.il,Maor Tee-Rosh,BM's Secretary
shifra@contoso.il,Shifra Market,Marketing Woman
dolev@contoso.il,Dolev Zahav,Economist
beny@contoso.il,Beny Mocher,Saleman
batia@contoso.il,Batia Mocheret,Salewoman
sam@contoso.il,Sam Boreg,House keeper
