User Name,Unnamed: 0,Nickname,Job Title
chris@contoso.com,0,Chris Green,IT Manager
ben@contoso.com,1,Ben Andrews,IT Manager
david@contoso.com,2,David Longmuir,IT Manager
cynthia@contoso.com,3,Cynthia Carey,IT Manager
melissa@contoso.com,4,Melissa MacBeth,IT Manager
shawanda@contoso.com,0,Shawanda Walker,CEO
george@contoso.com,1,George Hurden,CEO's Secretary
amilia@contoso.com,2,Amilia Thomas,QA Manager
benjamin@contoso.com,3,Benjamin Nerd,QA's Secretary
nina@contoso.com,4,Nina Golono,QA
bella@contoso.com,5,Bella Shift,QA
jeff@contoso.com,6,Jeff Title,QA
tom@contoso.com,7,Tom Fork,Graphic Designer
tiffany@contoso.com,8,Tiffany Keller,Graphic Designer
lee@contoso.com,9,Lee Nim-as,GUI Developer
sofi@contoso.com,10,Sofi Stam,GUI Developer
elit@contoso.il,11,Elit Barosh,Branch Manager
maor@contoso.il,12,Maor Tee-Rosh,BM's Secretary
shifra@contoso.il,13,Shifra Market,Marketing Woman
dolev@contoso.il,14,Dolev Zahav,Economist
beny@contoso.il,15,Beny Mocher,Saleman
batia@contoso.il,16,Batia Mocheret,Salewoman
sam@contoso.il,17,Sam Boreg,House keeper
