User Name,Department,Office Number,Office Phone,Mobile Phone,Fax
chris@contoso.com,Information Technology,123451,123-555-1211,123-555-6641,123-555-9821
ben@contoso.com,Information Technology,123452,123-555-1212,123-555-6642,123-555-9822
david@contoso.com,Information Technology,123453,123-555-1213,123-555-6643,123-555-9823
cynthia@contoso.com,Information Technology,123454,123-555-1214,123-555-6644,123-555-9824
melissa@contoso.com,Information Technology,123455,123-555-1215,123-555-6645,123-555-9825
shawanda@contoso.com,Administration,123450,123-555-1200,123-555-6600,123-555-9800
george@contoso.com,Administration,123450,123-555-1200,123-555-6601,123-555-9800
amilia@contoso.com,Quality Improvement,123456,123-555-1216,123-555-6640,123-555-9826
benjamin@contoso.com,Quality Improvement,123456,123-555-1216,123-555-6646,123-555-9826
nina@contoso.com,Quality Improvement,123457,123-555-1217,123-555-6647,123-555-9827
bella@contoso.com,Quality Improvement,123457,123-555-1217,123-555-6648,123-555-9827
jeff@contoso.com,Quality Improvement,123457,123-555-1217,123-555-6649,123-555-9826
tom@contoso.com,Graphic Department,112341,123-444-1231,123-444-5541,123-444-9811
tiffany@contoso.com,Graphic Department,112342,123-444-1233,123-444-5542,123-444-9812
lee@contoso.com,Graphic Department,112341,123-444-1231,123-444-5543,123-444-9811
sofi@contoso.com,Graphic Department,111342,123-444-1233,123-444-5544,123-444-9812
elit@contoso.il,Universal Market,111001,48,051-000-0001,416
maor@contoso.il,Universal Market,111001,48,051-000-0011,416
shifra@contoso.il,Universal Market,111002,47,051-000-0002,415
dolev@contoso.il,Universal Market,111003,46,051-000-0003,414
beny@contoso.il,Universal Market,111004,45,051-000-0004,413
batia@contoso.il,Universal Market,111004,45,051-000-0044,413
sam@contoso.il,Universal Market,111005,44,051-000-0005,413
